subset,image,class,confidence,x1,y1,x2,y2
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,pallets,0.8559914231300354,1150.2125244140625,2.165360450744629,1386.908203125,169.20530700683594
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,pallets,0.8457082509994507,1426.2711181640625,0.8260722756385803,1655.739990234375,242.46116638183594
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,pallets,0.7757555246353149,861.326171875,0.0,1092.3055419921875,124.33666229248047
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.7584688663482666,1243.19189453125,45.36429214477539,1286.8748779296875,84.01090240478516
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.674168050289154,941.6913452148438,38.32168960571289,982.89013671875,73.5056381225586
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.5772512555122375,1233.3394775390625,52.434715270996094,1276.0732421875,89.56193542480469
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.5661253929138184,1461.3853759765625,91.15477752685547,1502.5660400390625,130.5717315673828
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,pallets,0.5356208086013794,655.7780151367188,0.4664786159992218,835.4920654296875,81.91931915283203
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.5311810970306396,1212.2421875,55.747764587402344,1257.5992431640625,92.91460418701172
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.43727198243141174,1522.5675048828125,95.46570587158203,1562.9769287109375,135.84347534179688
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.3547551929950714,1207.5413818359375,56.98920440673828,1248.002685546875,92.67049407958984
train,DJI_20250424192953_0006_V_jpeg.rf.f9aa45ffc2da6ed8d2f2df0025876274.jpg,barcode,0.25031915307044983,1464.1092529296875,125.72802734375,1510.3465576171875,161.78460693359375
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,pallets,0.8034495711326599,1421.912109375,334.92724609375,1640.8480224609375,669.8291015625
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,pallets,0.800506591796875,1128.552001953125,232.08787536621094,1378.6217041015625,596.2581787109375
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,pallets,0.7945161461830139,796.83251953125,172.1049041748047,1080.9952392578125,547.72412109375
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,pallets,0.7926065325737,585.3990478515625,227.78724670410156,799.7830200195312,508.30682373046875
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,barcode,0.5430653691291809,1162.1636962890625,450.26416015625,1206.1951904296875,484.8951110839844
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,barcode,0.5330952405929565,1227.0216064453125,493.8638916015625,1275.0220947265625,531.9203491210938
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,barcode,0.3249737620353699,851.3600463867188,399.4939270019531,895.4283447265625,435.2436828613281
train,DJI_20250424192954_0007_V_jpeg.rf.7f57fea57fde8f8db14d50c628547576.jpg,barcode,0.28336504101753235,866.59716796875,421.2248229980469,910.7164306640625,455.072021484375
